ID,Class,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32
26,1,24,1,V1,4,V1,24,V0,3234,4,V2,V1,yes,4720,V3,1,V1,F,V2,V2,22,T,0,V1,1,V2,11933,V2,,,3234,V2,V2
27,0,36,1,V1,4,V4,36,V4,3835,2,V2,V1,yes,6969,V3,1,V4,F,V2,V5,44,T,0,V2,1,V3,31289,V2,,,3835,V2,V2
28,0,5,1,V2,1,V4,5,V1,1237,1,V3,V1,yes,5685,V3,1,V4,F,V4,V3,27,T,0,V2,2,V3,76574,V4,,,1237,V1,V2
29,0,12,1,V1,4,V2,12,V0,882,4,V3,V3,yes,4781,V3,1,V2,F,V4,V2,23,T,0,V2,2,V3,91326,V4,,,882,V1,V3
30,0,12,1,V1,2,V4,12,V0,776,4,V3,V1,yes,3714,V3,1,V4,F,V2,V3,28,T,0,V2,1,V3,117330,V2,,,776,V1,V4
31,1,18,1,V4,3,V1,18,V0,1216,4,V3,V1,yes,5261,V3,1,V1,F,V2,V2,23,T,0,V1,1,V0,26629,V2,,,1216,V2,V2
32,0,30,1,V2,4,V3,30,V4,3655,4,V2,V1,yes,6691,V2,1,V3,F,V4,V5,48,T,0,V2,2,V3,114776,V4,,,3655,V1,V3
33,0,24,1,V3,2,V1,24,V0,6578,4,V4,V1,yes,4295,V3,1,V1,F,V2,V1,28,T,0,V3,1,V1,16947,V2,,,6578,V2,V3
34,1,29,1,V4,2,V2,29,V0,4248,4,V4,V1,yes,4928,V3,1,V2,F,V4,V1,28,T,0,V2,2,V0,83910,V4,,,4248,V1,V4
35,0,11,2,V4,3,V4,11,V0,1493,4,V3,V1,yes,5950,V3,1,V4,F,V2,V2,33,T,0,V2,1,V3,20588,V2,,,1493,V1,V2
36,0,23,1,V4,3,V2,23,V1,3512,2,V3,V1,yes,6022,V1,1,V2,F,V2,V4,37,T,0,V2,2,V0,25660,V2,,,3512,V2,V3
37,0,5,1,V2,1,V3,5,V0,683,2,V3,V1,yes,5235,V1,1,V3,F,V3,V2,29,T,0,V2,1,V3,102823,V3,,,683,V1,V2
38,0,12,1,V1,1,V2,12,V0,3572,1,V2,V1,yes,5310,V3,1,V2,F,V4,V3,22,T,0,V2,1,V3,82472,V4,,,3572,V1,V2
39,0,39,1,V4,4,V4,39,V2,2568,4,V3,V1,yes,4841,V3,1,V4,F,V2,V3,24,T,0,V2,1,V1,12589,V2,,,2568,V1,V3
40,0,5,1,V2,3,V1,5,V4,1373,4,V4,V1,yes,4440,V3,1,V1,F,V2,V1,75,T,0,V2,1,V0,44647,V2,,,1373,V2,V2
41,1,23,1,V4,4,V4,23,V1,3620,2,V3,V1,yes,4588,V3,1,V4,F,V2,V5,31,T,0,V2,2,V3,27292,V2,,,3620,V1,V3
42,0,29,1,V4,4,V4,29,V4,7596,1,V3,V1,yes,5876,V3,1,V4,F,V4,V5,62,T,0,V2,2,V1,40511,V4,,,7596,V1,V3
43,0,23,1,V2,2,V4,23,V0,2028,2,V2,V1,yes,5506,V3,1,V4,F,V4,V4,29,T,0,V2,2,V2,7930,V4,,,2028,V1,V3
44,0,17,2,V4,4,V2,17,V4,2898,4,V3,V1,yes,5120,V3,1,V2,F,V3,V5,42,T,0,V2,1,V0,145818,V3,,,2898,V1,V3
45,1,59,1,V3,2,V2,59,V0,14026,4,V4,V1,yes,4573,V3,1,V2,F,V2,V4,26,T,0,V2,1,V0,26550,V2,,,14026,V2,V3
46,0,30,1,V1,2,V1,30,V0,4582,2,V3,V3,yes,3403,V3,1,V1,F,V5,V3,31,T,0,V2,2,V2,15347,V5,,,4582,V1,V1
47,0,5,1,V3,2,V4,5,V0,1537,1,V3,V1,yes,4239,V3,1,V4,F,V2,V2,56,T,0,V2,1,V6,55766,V2,,,1537,V1,V2
48,0,12,1,V4,1,V2,12,V0,1566,1,V3,V1,yes,5079,V3,1,V2,F,V2,V3,21,T,0,V2,1,V3,44092,V2,,,1566,V2,V2
49,0,12,1,V2,4,V1,12,V4,1199,4,V3,V1,yes,4948,V1,1,V1,F,V2,V3,22,T,0,V1,1,V6,16483,V2,,,1199,V2,V2
50,0,12,1,V1,4,V3,12,V0,1297,3,V3,V1,yes,5080,V3,1,V3,F,V2,V3,23,T,0,V1,1,V3,23686,V2,,,1297,V1,V4
51,0,10,1,V1,4,V4,10,V1,1153,4,V2,V1,yes,5060,V3,1,V4,F,V4,V1,56,T,0,V2,3,V3,68374,V4,,,1153,V1,V2
52,0,20,1,V4,2,V2,20,V3,2744,3,V3,V1,yes,2951,V3,1,V2,F,V4,V4,32,T,0,V2,2,V2,64491,V4,,,2744,V2,V3
53,1,23,1,V1,4,V2,23,V0,4240,1,V2,V1,yes,5432,V3,1,V2,F,V5,V3,36,T,0,V2,3,V9,170539,V5,,,4240,V2,V3
54,1,21,1,V4,1,V3,21,V0,2319,2,V3,V1,yes,5122,V3,1,V3,F,V4,V2,33,T,0,V1,1,V6,43844,V4,,,2319,V1,V1
55,1,47,1,V3,4,V2,47,V0,6224,4,V3,V1,yes,5340,V3,1,V2,F,V3,V5,49,T,0,V3,1,V6,71311,V3,,,6224,V1,V3
56,0,24,1,V1,3,V4,24,V0,2610,4,V3,V2,yes,6834,V3,1,V4,F,V4,V5,45,T,0,V2,2,V3,24020,V4,,,2610,V1,V4
57,1,23,1,V4,2,V1,23,V0,1659,4,V2,V1,yes,5464,V3,1,V1,F,V3,V2,28,T,0,V1,1,V3,3847,V3,,,1659,V2,V2
58,1,35,1,V4,4,V2,35,V0,9398,1,V4,V1,yes,5684,V3,1,V2,F,V2,V2,28,T,0,V1,1,V1,41233,V2,,,9398,V2,V4
59,1,59,1,V3,4,V2,59,V1,14781,3,V4,V1,yes,5114,V1,1,V2,F,V1,V5,60,T,0,V3,2,V10,5415,V1,,,14781,V2,V2
60,1,16,1,V2,4,V1,16,V0,2624,2,V3,V3,yes,4701,V1,1,V1,F,V4,V5,43,T,0,V1,1,V0,25063,V4,,,2624,V2,V3
61,0,12,1,V3,4,V1,12,V0,1525,4,V4,V1,yes,5408,V3,1,V1,F,V4,V5,65,T,0,V3,2,V1,45647,V4,,,1525,V1,V3
62,0,36,1,V4,2,V4,36,V0,9566,2,V3,V1,yes,4414,V2,1,V4,F,V4,V3,30,T,0,V2,2,V3,33336,V4,,,9566,V1,V2
63,0,23,1,V4,2,V2,23,V1,3878,4,V3,V1,yes,3534,V3,1,V2,F,V4,V2,36,T,0,V2,1,V0,37698,V4,,,3878,V2,V1
64,0,17,1,V4,4,V2,17,V0,3872,2,V3,V1,yes,5114,V3,1,V2,F,V2,V1,67,T,0,V2,1,V5,32407,V2,,,3872,V2,V2
65,0,14,1,V2,3,V4,14,V2,1262,4,V3,V1,yes,5933,V3,1,V4,F,V2,V4,35,T,0,V2,2,V4,20736,V2,,,1262,V2,V3
66,0,30,1,V4,4,V1,30,V1,6187,1,V3,V1,yes,4607,V3,1,V1,F,V4,V4,23,T,0,V1,2,V1,24069,V4,,,6187,V1,V4
67,0,47,1,V3,4,V2,47,V1,7581,2,V4,V1,yes,5643,V3,1,V2,F,V3,V1,30,T,0,V3,1,V10,32765,V3,,,7581,V2,V3
68,1,12,1,V4,3,V1,12,V0,1371,2,V3,V1,yes,2800,V3,1,V1,F,V2,V4,35,T,0,V2,1,V0,36587,V2,,,1371,V1,V1
69,0,42,1,V1,4,V4,42,V2,4042,4,V3,V1,yes,4102,V3,1,V4,F,V4,V3,35,T,0,V2,2,V2,15137,V4,,,4042,V2,V3
70,0,5,2,V3,4,V4,5,V1,1345,2,V3,V1,yes,4636,V1,1,V4,F,V2,V5,42,T,0,V3,1,V3,36832,V2,1,,1345,V2,V3
71,0,5,1,V1,4,V1,5,V4,1169,4,V3,V1,yes,4496,V3,1,V1,F,V4,V5,66,T,0,V2,2,V3,41823,V4,,,1169,V2,V3
72,0,23,1,V1,4,V1,23,V4,2811,2,V3,V1,yes,4044,V3,1,V1,F,V2,V5,26,T,0,V1,1,V1,16127,V2,,,2811,V1,V2
73,0,8,2,V1,4,V1,8,V1,1288,3,V3,V3,no,6659,V3,1,V1,F,V4,V5,47,T,0,V2,2,V5,38365,V4,,,1288,V1,V3
74,0,12,1,V2,4,V1,12,V0,652,4,V3,V1,yes,5505,V3,1,V1,F,V2,V5,23,T,0,V1,1,V2,21824,V2,,,652,V1,V2
75,0,11,1,V4,2,V2,11,V0,6077,2,V3,V1,yes,5376,V3,1,V2,F,V2,V4,31,T,0,V2,1,V0,21369,V2,,,6077,V1,V3
76,0,8,1,V4,1,V2,8,V4,2030,2,V3,V1,yes,4429,V3,1,V2,F,V2,V4,23,T,0,V2,1,V2,94521,V2,,,2030,V2,V3
77,1,9,1,V2,4,V1,9,V0,1365,3,V3,V1,yes,6078,V3,1,V1,F,V2,V2,21,T,0,V1,1,V3,9776,V2,,,1365,V1,V2
78,0,9,1,V1,4,V4,9,V0,1235,1,V3,V1,yes,4688,V3,1,V4,F,V2,V2,22,T,0,V1,1,V4,19322,V2,3,,1235,V2,V2
79,1,24,1,V1,2,V2,24,V0,1246,4,V2,V1,yes,4838,V2,1,V2,F,V2,V2,23,T,0,V2,1,V0,68678,V2,,,1246,V1,V3
80,0,5,1,V4,2,V4,5,V2,2080,1,V3,V1,yes,5988,V3,1,V4,F,V4,V3,23,T,0,V2,1,V0,37693,V4,,,2080,V1,V4
81,1,59,1,V3,4,V2,59,V0,6287,4,V3,V1,yes,4959,V3,1,V2,F,V2,V3,42,T,0,V3,1,V6,50309,V2,,,6287,V1,V3
82,0,8,1,V1,1,V2,8,V0,1391,2,V3,V1,yes,5973,V1,1,V2,F,V2,V3,27,T,0,V2,1,V9,26042,V2,,,1391,V2,V4
83,1,35,1,V4,4,V2,35,V1,8085,2,V4,V1,yes,4670,V3,1,V2,F,V3,V5,41,T,0,V2,4,V0,44454,V3,,,8085,V2,V3
84,0,23,1,V4,4,V1,23,V0,3631,1,V3,V3,no,5155,V1,1,V1,F,V1,V3,22,T,0,V1,1,V1,32891,V1,,,3631,V1,V2
85,1,12,2,V4,4,V2,12,V0,888,4,V2,V1,yes,4079,V1,1,V2,F,V2,V5,40,T,0,V2,1,V0,152628,V2,,,888,V1,V3
86,0,23,1,V1,2,V4,23,V0,4526,3,V4,V1,yes,4052,V3,1,V4,F,V4,V3,74,T,0,V2,1,V9,33231,V4,,,4526,V2,V3
87,0,24,1,V1,2,V4,24,V0,1249,4,V3,V1,yes,4129,V3,1,V4,F,V2,V2,27,T,0,V2,1,V0,4230,V2,,,1249,V1,V4
88,1,5,1,V2,1,V2,5,V1,931,1,V2,V1,yes,5242,V2,1,V2,F,V1,V2,31,T,0,V2,1,V0,9700,V1,,,931,V1,V2
89,0,12,1,V1,4,V2,12,V1,1036,3,V2,V1,yes,4681,V3,1,V2,F,V2,V4,39,T,0,V2,1,V9,23909,V2,,,1036,V1,V3
90,0,23,1,V2,4,V4,23,V4,4041,3,V3,V1,yes,5661,V3,1,V4,F,V4,V4,43,T,0,V2,2,V1,39668,V4,,,4041,V2,V3
91,0,24,1,V4,2,V1,24,V0,6567,2,V2,V1,yes,4837,V2,1,V1,F,V2,V3,20,T,0,V2,1,V9,16217,V2,,,6567,V1,V4
92,0,18,1,V1,3,V4,18,V3,1149,4,V3,V1,yes,5122,V3,1,V4,F,V4,V3,45,T,0,V2,2,V3,51466,V4,,,1149,V1,V3
93,0,48,1,V3,1,V1,48,V0,7475,4,V4,V1,yes,5253,V3,1,V1,F,V2,V4,50,T,0,V3,1,V6,43243,V2,,,7475,V2,V3
94,1,47,1,V4,2,V1,47,V0,6758,3,V3,V1,yes,5107,V3,1,V1,F,V2,V3,31,T,0,V2,1,V3,35182,V2,,,6758,V2,V2
95,0,17,1,V4,2,V4,17,V0,2403,2,V3,V1,yes,6350,V3,1,V4,F,V4,V3,25,T,0,V2,2,V3,34442,V4,,,2403,V1,V2
96,0,12,1,V1,4,V2,12,V0,1091,4,V3,V3,yes,4359,V3,1,V2,F,V2,V3,49,T,0,V2,2,V3,33688,V2,,,1091,V2,V2
97,1,36,1,V3,1,V2,36,V0,2383,4,V2,V1,yes,3719,V3,1,V2,F,V2,V2,32,T,0,V1,1,V5,46015,V2,,,2383,V1,V3
98,1,24,1,V4,4,V2,24,V0,11559,1,V4,V1,yes,4335,V3,1,V2,F,V2,V3,23,T,0,V1,2,V1,37087,V2,,,11559,V1,V2
99,0,17,1,V4,4,V4,17,V0,6069,3,V3,V1,yes,4578,V3,1,V4,F,V4,V5,32,T,0,V2,2,V3,32357,V4,,,6069,V2,V3
100,1,48,1,V4,3,V2,48,V0,5095,2,V4,V1,yes,4320,V3,1,V2,F,V4,V3,30,T,0,V2,1,V2,22270,V4,,,5095,V2,V2
101,0,24,1,V1,2,V3,24,V0,1925,2,V3,V1,yes,5732,V3,1,V3,F,V2,V3,25,T,0,V2,1,V2,30515,V2,,,1925,V1,V3
102,1,24,2,V3,4,V2,24,V1,1215,4,V3,V1,yes,4355,V1,1,V2,F,V4,V2,37,T,0,V2,2,V3,73997,V4,,,1215,V1,V3
103,0,12,1,V1,1,V2,12,V0,2929,2,V3,V1,yes,5127,V3,1,V2,F,V2,V4,26,T,0,V2,1,V3,13530,V2,,,2929,V1,V2
104,0,14,1,V2,1,V1,14,V0,1845,4,V3,V3,yes,5547,V3,1,V1,F,V2,,45,T,0,V1,1,V2,73859,V2,,,1845,V1,V2
105,1,24,2,V1,2,V1,24,V0,1333,4,V3,V1,yes,5810,V3,1,V1,F,V3,V1,43,T,0,V3,2,V0,19304,V3,,,1333,V1,V3
106,1,24,1,V4,3,V2,24,V0,11327,2,V4,V2,yes,5988,V1,1,V2,F,V2,V3,28,T,0,V2,2,V10,15686,V2,,,11327,V2,V3
107,0,11,2,V1,3,V4,11,V2,3447,4,V2,V1,yes,5951,V3,1,V4,F,V1,V3,34,T,0,V2,1,V8,36706,V1,,,3447,V1,V2
108,0,36,1,V3,2,V4,36,V0,4685,2,V4,V1,yes,4697,V3,1,V4,F,V2,V3,31,T,0,V3,1,V1,51796,V2,,,4685,V2,V3
109,0,11,1,V4,4,V4,11,V0,1541,2,V3,V1,yes,4183,V3,1,V4,F,V2,V4,35,T,0,V2,1,V9,15673,V2,,,1541,V2,V3
110,1,24,2,V3,4,V1,24,V2,3348,4,V3,V1,yes,5104,V3,1,V1,F,V1,V2,29,T,0,V3,1,V2,8354,V1,,,3348,V2,V3
111,0,17,1,V2,1,V4,17,V4,3377,2,V3,V1,yes,4937,V3,1,V4,F,V2,V3,31,T,0,V2,1,V1,25328,V2,,,3377,V2,V3
112,1,23,1,V4,2,V1,23,V1,1281,4,V2,V1,yes,6542,V3,1,V1,F,V2,V3,32,T,0,V2,1,V3,43171,V2,,,1281,V1,V2
113,0,12,1,V4,1,V3,12,V0,3016,3,V3,V1,yes,5084,V3,1,V3,F,V2,V3,24,T,0,V2,1,V3,48983,V2,,,3016,V1,V4
114,0,15,1,V1,2,V4,15,V4,1386,4,V3,V1,yes,4059,V3,1,V4,F,V2,V3,39,T,0,V1,1,V3,32792,V2,,,1386,V2,V4
115,0,6,2,V1,4,V1,6,V0,1360,2,V2,V1,no,5787,V3,1,V1,F,V4,V2,40,T,0,V2,1,V0,26805,V4,,,1360,V1,V3
116,0,23,1,V4,2,V4,23,V4,3104,4,V3,V1,yes,2344,V3,1,V4,F,V2,V2,24,T,0,V2,2,V3,21116,V2,,,3104,V1,V3
117,0,9,1,V1,3,V4,9,V0,2146,1,V3,V1,yes,4795,V3,1,V4,F,V4,V2,22,T,0,V1,2,V2,117121,V4,,,2146,V1,V2
118,1,24,1,V1,4,V1,24,V4,1371,4,V3,V1,yes,6016,V3,1,V1,F,V2,V3,25,T,0,V1,1,V0,55455,V2,,,1371,V1,V2
119,0,35,2,V2,3,V2,35,V1,9857,1,V2,V1,yes,6197,V3,1,V2,F,V3,V4,31,T,0,V2,2,V9,39038,V3,,,9857,V2,V3
120,0,4,1,V1,4,V4,4,V0,3447,1,V2,V1,yes,3555,V3,1,V4,F,V2,V4,74,T,0,V2,1,V9,27647,V2,,,3447,V1,V3
121,0,35,2,V2,2,V1,35,V0,3620,1,V3,V3,yes,4931,V3,1,V1,F,V2,V3,37,T,0,V2,1,V2,13577,V2,,,3620,V1,V3
122,0,8,1,V1,2,V1,8,V0,2135,3,V3,V1,yes,6440,V3,1,V1,F,V2,V3,25,T,0,V2,1,V2,32663,V2,,,2135,V1,V3
123,0,17,1,V2,2,V2,17,V3,1940,4,V2,V1,yes,5436,V3,1,V2,F,V2,V3,34,T,0,V2,1,V9,8143,V2,,,1940,V2,V3
124,0,6,1,V3,1,V4,6,V1,1203,4,V3,V1,no,5322,V1,1,V4,F,V5,V3,35,T,0,V1,1,V0,40418,V5,,,1203,V1,V3
125,1,48,2,V3,4,V2,48,V1,3843,4,V2,V1,yes,5080,V3,1,V2,F,V5,V4,33,T,0,V3,1,V9,49096,V5,,,3843,V1,V3
126,0,26,1,V4,4,V4,26,V0,5116,3,V3,V1,yes,4898,V3,1,V4,F,V3,V4,26,T,0,V2,2,V9,3690,V3,,,5116,V1,V3
127,1,23,1,V4,4,V2,23,V0,1354,3,V2,V1,yes,4182,V3,1,V2,F,V2,V2,24,T,0,V2,1,V0,36976,V2,,,1354,V2,V2
128,0,11,1,V1,3,V1,11,V0,1409,4,V3,V1,yes,5465,V3,1,V1,F,V4,V5,53,T,0,V2,1,V1,21131,V4,,,1409,V1,V3
129,0,20,1,V4,2,V1,20,V3,3356,4,V3,V1,yes,4966,V1,1,V1,F,V2,V2,28,T,0,V2,1,V3,40018,V2,,,3356,V1,V2
130,0,11,1,V1,3,V1,11,V0,1167,4,V2,V1,yes,4394,V3,1,V1,F,V2,V3,26,T,0,V2,1,V0,13154,V2,,,1167,V1,V4
131,0,18,1,V1,3,V2,18,V3,1913,3,V3,V1,yes,5769,,1,V2,F,V2,V2,35,T,0,V2,1,V9,21787,V2,,,1913,V2,V4
132,0,23,1,V1,4,V3,23,V3,1275,2,V3,V1,yes,5042,V3,1,V3,F,V4,V3,36,T,0,V2,2,V9,62503,V4,,,1275,V2,V1
133,0,12,1,V4,4,V4,12,V4,2445,2,V3,V1,yes,5034,V3,1,V4,F,V2,V2,26,T,0,V1,1,V1,7694,V2,,,2445,V2,V4
134,0,27,1,V4,2,V2,27,V0,5965,1,V4,V1,yes,5992,V3,1,V2,F,V3,V5,30,T,0,V2,2,V1,101489,V3,,,5965,V2,V3
135,0,36,2,V3,4,V1,36,V0,5493,2,V3,V1,yes,5718,V3,1,V1,F,V2,V5,42,T,0,V3,1,V1,10002,V2,,,5493,V1,V3
136,0,12,1,V1,2,V2,12,V4,7472,1,V1,V1,yes,4324,V3,1,V2,F,V2,V1,23,T,0,V1,1,V0,50135,V2,,,7472,V1,V2
137,0,4,2,V1,2,V3,4,V4,1494,1,V2,V1,no,4639,V3,1,V3,F,V2,V2,28,T,0,V2,1,V0,52720,V2,,,1494,V1,V3
138,0,24,1,V4,4,V4,24,V1,1901,4,V4,V1,yes,3975,V3,1,V4,F,V2,V3,29,T,0,V1,1,V3,24182,V2,,,1901,V2,V3
139,0,5,1,V1,1,V4,5,V0,518,3,V3,V1,yes,4804,V3,1,V4,F,V2,V3,29,T,0,V2,1,V3,39007,V2,,,518,V1,V2
140,0,3,2,V1,1,V4,3,V0,3379,1,V3,V1,yes,4971,V3,1,V4,F,V4,V4,37,T,0,V2,1,V0,8278,V4,,,3379,V1,V2
141,0,5,1,V1,1,V1,5,V0,343,4,V3,V1,yes,4592,V3,1,V1,F,V2,V2,27,T,0,V2,1,V4,20164,V2,,,343,V1,V2
142,0,11,1,V4,2,V3,11,V0,2246,2,V3,V1,yes,3977,V2,1,V3,F,V3,V3,35,T,0,V2,2,V0,40280,V3,,,2246,V2,V2
143,1,36,2,V3,4,V2,36,V1,12611,1,V3,V1,yes,4586,V3,1,V2,F,V2,V3,47,T,0,V3,1,V6,12290,V2,,,12611,V2,V3
144,0,11,2,V1,3,V2,11,V0,958,2,V2,V1,yes,4998,V3,1,V2,F,V4,V4,47,T,0,V2,2,V0,27069,V4,,,958,V1,V3
145,0,24,1,V4,4,V4,24,V0,2022,4,V3,V1,yes,5352,V3,1,V4,F,V4,V3,36,T,0,V2,1,V0,10296,V4,,,2022,V2,V2
146,1,23,1,V3,4,V1,23,V4,1285,4,V3,V1,yes,4827,V3,1,V1,F,V2,V4,31,T,0,V1,1,V0,36103,V2,,,1285,V1,V2
147,0,14,1,V4,4,V1,14,V0,2510,1,V3,V1,yes,6138,V3,1,V1,F,V2,V1,23,T,0,V1,1,V0,27037,V2,,,2510,V1,V2
148,0,24,1,V3,1,V4,24,V0,2678,4,V4,V1,yes,5866,V3,1,V4,F,V2,V2,29,T,0,V2,1,V1,37364,V2,,,2678,V2,V2
149,1,24,1,V4,4,V1,24,V0,1198,4,V2,V1,yes,3455,V3,1,V1,F,V4,V5,60,T,0,V2,2,V0,94625,V4,,,1198,V1,V3
150,0,15,1,V4,2,V4,15,V0,3029,2,V3,V1,yes,3593,V3,1,V4,F,V2,V4,32,T,0,V2,1,V1,24748,V2,,,3029,V1,V3
151,0,35,1,V2,2,V1,35,V0,2348,3,V3,V1,yes,4254,V3,1,V1,F,V4,V3,46,T,0,V2,2,V2,28075,V4,,,2348,V2,V4
152,1,47,1,V2,2,V2,47,V1,6559,3,V3,V1,yes,4526,V3,1,V2,F,V2,V4,24,T,0,V2,1,V0,56130,V2,,,6559,V1,V3
153,0,11,1,V4,2,V2,11,V4,2028,4,V3,V1,yes,5932,V3,1,V2,F,V2,V3,30,T,0,V2,1,V1,106435,V2,,,2028,V1,V3
154,1,35,2,V2,2,V1,35,V0,8228,2,V3,V1,yes,3620,V3,1,V1,F,V2,V3,26,T,0,V2,1,V1,38868,V2,,,8228,V1,V3
155,1,48,1,V3,3,V2,48,V0,6416,4,V3,V1,yes,5907,V3,1,V2,F,V1,V5,59,T,0,V1,1,V9,53669,V1,,,6416,V1,V2
156,0,12,2,V2,1,V4,12,V4,3564,2,V2,V1,yes,5017,V3,1,V4,F,V4,V2,37,T,0,V2,2,V6,17790,V4,,,3564,V1,V3
157,0,6,1,V2,2,V4,6,V4,1221,1,V3,V1,yes,4657,V3,1,V4,F,V4,V3,27,T,0,V2,2,V2,1801,V4,,,1221,V1,V4
158,1,41,1,V4,3,V1,41,V0,3965,4,V3,V1,yes,6508,V3,1,V1,F,V2,V2,33,T,0,V2,1,V3,48292,V2,,,3965,V1,V3
159,1,24,2,V1,4,V1,24,V0,1987,2,V2,V1,yes,4498,V3,1,V1,F,V2,V3,21,T,0,V1,1,V3,38069,V2,,,1987,V1,V3
160,0,12,1,V4,3,V4,12,V4,2390,4,V3,V1,yes,4361,V3,1,V4,F,V2,V5,49,T,0,V2,1,V0,38430,V2,,,2390,V2,V3
161,1,8,1,V3,3,V2,8,V1,1437,2,V3,V1,yes,5391,V3,1,V2,F,V1,V4,28,T,0,V2,1,V0,180695,V1,,,1437,V1,V3
162,0,18,2,V4,4,V1,18,V1,4380,3,V2,V1,yes,4493,V3,1,V1,F,V2,V3,35,T,0,V2,1,V0,85470,V2,,,4380,V2,V3
